Invention,Year,Inventor,Category,Category 2,Earlier independent plausible description/patent of the concept?,Other development efforts?,Other successes or near successes?,Notes,Sources,Source Link,,,
Helical scan video tape recorder,1953,Norikazu Sawazaki,Electrical,,,,Yes,"""Earl Edgar Masterson from RCA patented the first helical scan method in 1950.[25][26] German engineer Eduard Schüller developed a helical scan method of recording in 1953 while working at AEG.[27][28] With the advent of television broadcasting in Japan in the early 1950s, they saw the need for magnetic television signal recording. Dr. Kenichi Sawazaki developed a prototype helical scan recorder in 1954""",Wikipedia,"https://en.wikipedia.org/wiki/Helical_scan#:~:text=German%20engineer%20Eduard%20Sch%C3%BCller%20developed,for%20magnetic%20television%20signal%20recording.",,,
Silicon solar PV cell,1954,"Calvin Fuller, Daryl Chapin, Gerald Pearson",Electronic,,,,,Selenium cells preceded it but these weren't really understood very well and had much worse performance.,,,,,
Hovercraft,1955,Christopher Cockerell,Mechanical,,,,Yes,"""That year he demonstrated his prototype craft, which used air blown out of the bottom of the craft under pressure, to British authorities, and showed that it was possible to enable such a vehicle to glide easily over water, land, even mud, and marshes. Meanwhile, American Charles J. Fletcher had invented a similar device called the ""Glidemobile"" during WWII; his design was classified by the U.S. Dept. of War, which denied Fletcher the right to patent the invention. Cockerell, however, having come up with his concept all on his own and having been the first to patent, is known as the father of the hovercraft that would come to be known and used around the world.""",Inventor of the week: Christopher Cockerell,https://web.archive.org/web/20120613034314/http://web.mit.edu/invent/iow/cockerell.html,,,
Shipping container,1955,Malcom McLean,Mechanical,,,,Yes,"""In April 1951 at Zürich Tiefenbrunnen railway station, the Swiss Museum of Transport and the Bureau International des Containers (BIC) held demonstrations of container systems for representatives from a number of European countries, and from the United States. A system was selected for Western Europe, based on the Netherlands' system for consumer goods and waste transportation called Laadkisten (lit. ""Loading chests""), in use since 1934. This system used roller containers for transport by rail, truck and ship, in various configurations up to 12,100 pounds (5,500 kg) capacity, and up to 10 ft 2 in × 7 ft 6+1⁄2 in × 6 ft 6+3⁄4 in (3.1 m × 2.3 m × 2 m) in size.[15][16] This became the first post World War II European railway standard of the International Union of Railways – UIC-590, known as ""pa-Behälter"". It was implemented in the Netherlands, Belgium, Luxembourg, West Germany, Switzerland, Sweden and Denmark.[17]

The use of standardized steel shipping containers began during the late 1940s and early 1950s, when commercial shipping operators and the US military started developing such units.[18] In 1948 the U.S. Army Transportation Corps developed the ""Transporter"", a rigid, corrugated steel container, able to carry 9,000 pounds (4,100 kg). It was 8 ft 6 in (2.6 m) long, 6 ft 3 in (1.9 m) wide, and 6 ft 10 in (2.1 m) high, with double doors on one end, was mounted on skids, and had lifting rings on the top four corners.[19] After proving successful in Korea, the Transporter was developed into the Container Express (CONEX) box system in late 1952""",Wikipedia,https://en.wikipedia.org/wiki/Intermodal_container#History,,,
Hard-disk drive,1956,IBM RAMAC team,Electronic,,,,,,,https://web.archive.org/web/20190503034223id_/https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CF54257C79F0FC3F34D2A7104F640A84/S0007680500000088a.pdf/div-class-title-the-rigid-disk-drive-industry-a-history-of-commercial-and-technological-turbulence-div.pdf,https://en.wikipedia.org/wiki/History_of_hard_disk_drives,,
Logic theorist AI program,1956,"Allen Newell, Herbert Simon, Cliff Shaw",Electronic,,,,,,,,,,
Laser/optical amplifier,1957,Gordon Gould; Charles Townes & Arthur Schawlow,Electronic,,,,Yes,"""Richard Gordon Gould (July 17, 1920 – September 16, 2005) was an American physicist who is sometimes credited with the invention of the laser and the optical amplifier. (Credit for the invention of the laser is disputed, since Charles Townes and Arthur Schawlow were the first to publish the theory and Theodore Maiman was the first to build a working laser). Gould is best known for his thirty-year fight with the United States Patent and Trademark Office to obtain patents for the laser and related technologies. He also fought with laser manufacturers in court battles to enforce the patents he subsequently did obtain.""",,https://en.wikipedia.org/wiki/Gordon_Gould,,,
IBM 610 Single-use computer,1957,,Electronic,,,,Yes,"Lots of computer efforts: ""The G-15 is sometimes described as the first personal computer, because it has the Intercom interpretive system. The title is disputed by other machines, such as the LGP-30 (shipped in late 1956), and the DEC LINC (March 1962) and PDP-8 (March 1965)""",Wikipedia,https://en.wikipedia.org/wiki/Bendix_G-15,,,
Sputnik artificial satellite,1957,USSR,Other,,,,Yes,"US was working on a satellite at the same time: ""The U.S. Earth satellite program began in 1954 as a joint U.S. Army and U.S. Navy proposal, called Project Orbiter, to put a scientific satellite into orbit during the International Geophysical Year. The proposal, using a military Redstone missile, was rejected in 1955 by the Eisenhower administration in favor of the Navy's Project Vanguard, using a booster advertised as more civilian in nature.[4][5] Following the launch of the Soviet satellite Sputnik 1 on 4 October 1957, the initial Project Orbiter program was revived as the Explorer program to catch up with the Soviet Union""",Wikipedia,https://en.wikipedia.org/wiki/Explorer_1,,,
Integrated circuit,1958,Jack Kilby and Robert Noyce,Electronic,,,,Yes,These efforts were independent,,,,,
MOSFET Transistor,1959,Mohamed Atalla & Dawon Kahng,Electronic,,,,,,,,,,
First working laser,1960,Theodore Maiman,Electronic,,,Yes,,"""…no one else had succeeded in building a laser. It was not for lack of effort. The presitgious Bell Telephone Laboratories was working on several approaches. So was a classified program with a generous Pentagon contract.""",Beam: p4,,,,
Electronic cigarette,1963,Herbert Gilbert,Electrical,,,,,Subsequent efforts were familiar with Gilbert's work,,https://www.smithsonianmag.com/innovation/plans-for-first-e-cigarette-went-up-in-smoke-50-years-ago-180970730/,,,
Shinkansen high-speed rail,1964,JNR,Mechanical,,,,,,,,,,
Kevlar,1965,Stephanie Kwolek,Chemical,,,,,,,,,,
Packet-switched networks,1969,NPL and Arpanet,Electronic,,,,Yes,"""The concept of switching small blocks of data was first explored independently by Paul Baran at the RAND Corporation during the early 1960s in the US and Donald Davies at the National Physical Laboratory (NPL) in the UK in 1965.""",Wikipedia,https://en.wikipedia.org/wiki/Packet_switching#History,,,
